Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Çok Filim Hareketler Bunlar,2010,7+,99 min,"Comedias, Extranjeras",Ozan Açıktan,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci",Turquía,4.4/10,Netflix
Dedemin Fisi,2016,13+,101 min,"Comedias, Extranjeras",Meltem Bozoflu,"Onur Buldu, Alper Kul, Erdem Yener, Onur Atilla, Özge Borak, Doğa Rutkay, Meltem Yılmazkaya, İrem Sak",Turquía,5.6/10,Netflix
Deliha,2014,7+,102 min,"Comedias, Extranjeras, Románticas",Hakan Algül,"Gupse Özay, Barış Arduç, Cihan Ercan",Turquía,4.5/10,Netflix
Düğün Dernek,2013,13+,102 min,"Comedias, Extranjeras","Selçuk Aydemir, Birkan Pusa","Ahmet Kural, Murat Cemcir, Rasim Öztekin, Devrim Yakut, Barış Yıldız, Ulaş Torun, Zerrin Sümer, Şinasi Yurtsever",Turquía,7.1/10,Netflix
Dügün Dernek 2: Sünnet,2015,13+,107 min,"Comedias, Extranjeras",Selçuk Aydemir,"Ahmet Kural, Murat Cemcir, Rasim Öztekin, Devrim Yakut, Barış Yıldız, Ulaş Torun, Şinasi Yurtsever, Erdal Tosun",Turquía,6.4/10,Netflix
Eyyvah Eyvah,2010,13+,99 min,"Comedias, Extranjeras",Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Bican Günalan, Salih Kalyon, Tanju Tuncel, Meray Ülgen",Turquía,7.0/10,Netflix
Eyyvah Eyvah 2,2011,7+,106 min,"Comedias, Extranjeras, Románticas",Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Salih Kalyon, Tanju Tuncel, Meray Ülgen, Bican Günalan, Tarık Ünlüoğlu, Ayşenil Şamlıoğlu",Turquía,6.6/10,Netflix
Eyyvah Eyvah 3,2014,7+,103 min,"Comedias, Extranjeras",Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Salih Kalyon, Tanju Tuncel, Serra Yılmaz, Tarık Ünlüoğlu, Ayşenil Şamlıoğlu",Turquía,5.9/10,Netflix
G.O.R.A.,2004,13+,123 min,"Acción, Ciencia ficción y fantásticas, Comedias",Ömer Faruk Sorak,"Cem Yılmaz, Rasim Öztekin, Özkan Uğur, İdil Fırat, Şafak Sezer, Özge Özberk, Erdal Tosun, Cezmi Baskın, Ozan Güven, Engin Günaydın",Turquía,8.0/10,Netflix
Hayat Öpücügü,2015,13+,98 min,"Comedias, Dramas, Extranjeras",Şenol Sönmez,"Ali Sunal, Hatice Şendil, Ayda Aksel, Ahmet Saraçoğlu, Janset, Zerrin Sümer, Somer Karvan, Ali Çelik",Turquía,5.9/10,Netflix
Hokkabaz,2006,13+,118 min,"Comedias, Dramas, Extranjeras","Ali Taner Baltacı, Cem Yılmaz","Cem Yılmaz, Mazhar Alanson, Özlem Tekin, Tuna Orhan, Tuncer Salman, Kemal İnci, Gürgen Öz, Caner Alkaya, Ayçe Abana, Bahtiyar Engin",Turquía,7.4/10,Netflix
Hükümet Kadin,2013,7+,100 min,"Comedias, Extranjeras",Sermiyan Midyat,"Demet Akbağ, Sermiyan Midyat, Mahir İpek, Gülhan Tekin, Burcu Gönder, Cezmi Baskın, Renan Bilek, Ayberk Attila, Rıza Akın, Bülent Çolak",Turquía,6.5/10,Netflix
Hükümet Kadin 2,2013,7+,101 min,"Comedias, Extranjeras",Sermiyan Midyat,"Demet Akbağ, Sermiyan Midyat, Mahir İpek, Gülhan Tekin, Burcu Gönder, Mine Şenhuy Teber, Osman Alkaş, Bülent Çolak, Olgun Toker, Doğukan Polat",Turquía,6.1/10,Netflix
Incir Receli 2,2014,13+,103 min,"Dramas, Extranjeras, Románticas",Aytaç Ağırlar,"Halil Sezai Paracıkoğlu, Şafak Pekdemir, Ahmet Uz, Mehmet Selim Akgül, Sinan Çalışkanoğlu, Tuğba Sarıünal",Turquía,6.1/10,Netflix
Kara Bela,2015,13+,101 min,"Comedias, Extranjeras",Burak Aksak,"Cengiz Bozkurt, Seda Bakan, Erkan Kolçak Köstendil, Cihan Ercan, Berat Yenilmez, İştar Gökseven, Erdal Tosun, Tarık Ünlüoğlu",Turquía,6.9/10,Netflix
Kocan Kadar Konus,2015,13+,104 min,"Comedias, Extranjeras, Románticas",Kıvanç Baruönü,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Ebru Cündübeyoğlu, Eda Ece, Begüm Öner, Gül Arıcı, Muhammet Uzuner",Turquía,6.2/10,Netflix
