Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Nadiya’s Time to Eat,2020,TODOS LO,1 temporada,"Británicas, Extranjeras, Realities y talk shows",NA,Nadiya Hussain,Reino Unido,7.3/10,Netflix
Cinar Agaci,2011,13+,115 min,"Comedias, Dramas, Extranjeras",Handan İpekçi,"Nurgül Yeşilçay, Celile Toyon Uysal, Deniz Deha Lostar, Settar Tanrıöğen, Suzan Aksoy, Hüseyin Avni Danyal, Jülide Kural, Ragıp Savaş",Turquía,6.2/10,Netflix
La Internacional,2006,13+,102 min,"Comedias, Dramas, Extranjeras","Muharrem Gülmez, Sırrı Süreyya Önder","Cezmi Baskın, Özgü Namal, Umut Kurt, Nazmi Kırık, Bahri Beyat, Meral Okay, Dilber Ay, Şahin Irmak, Oktay Kaynarca, Burak Tamdoğan",Turquía,7.2/10,Netflix
Neseli Hayat,2009,7+,108 min,"Comedias, Extranjeras",Yılmaz Erdoğan,"Yılmaz Erdoğan, Ersin Korkut, Büşra Pekin, Erdal Tosun, Rıza Akın, Sinan Bengier, Cezmi Baskın, Ayberk Atilla, Fatma Murat, Metin Yıldız",Turquía,6.1/10,Netflix
Versailles,2018,16+,3 temporadas,"Dramas, Extranjeras",NA,"George Blagden, Alexander Vlahos, Tygh Runyan, Stuart Bowman, Evan Williams, Elisa Lasowski, Joe Sheridan, Steve Cumyn, Anna Brewster, Maddison Jaizani, Pip Torrens, Catherine Walker, Lizzie Brocheré, Geoffrey Bateman","Francia, Canadá",7.9/10,Netflix
Yo nunca,2020,13+,1 temporada,"Comedias, Dramas, Estadounidenses",NA,"Maitreyi Ramakrishnan, Poorna Jagannathan, Richa Moorjani, Jaren Lewison, Darren Barnet, John McEnroe, Ramona Young, Lee Rodriguez, Sendhil Ramamurthy, Adam Shapiro, Niecy Nash, Cocoa Brown, Lily D. Moore, Eddie Liu",Estados Unidos,7.9/10,Netflix
"El coronavirus, en pocas palabras",2020,13+,1 temporada,"Docuseries, Estadounidenses",NA,NA,Estados Unidos,7.7/10,Netflix
The Last Kingdom,2020,16+,4 temporadas,"Acción, Británicas, Dramas",NA,"Alexander Dreymon, Emily Cox, David Dawson, Ian Hart, Rune Temte, Matthew Macfadyen, Rutger Hauer, Tobias Santelmann, Peter Gantzler, Adrian Bower, Joseph Millson, Henning Valin Jakobsen, Alexandre Willaume, Thomas W. Gabrielsson",Reino Unido,8.4/10,Netflix
"Hi Bye, Mama!",2020,13+,1 temporada,"Comedias, Dramas, Extranjeras",NA,"Kim Tae-hee, Lee Kyoo-hyung, Go Bo-gyeol, Shin Dong-mi, Seo Woo-jin, Lee Si-woo, Oh Eui-sik, Ahn Nae-sang, Kim Mee-kyeong, Park Su-young, Kim Mi-su, Yoon Sa-bong",Corea del Sur,8.0/10,Netflix
After Life,2020,16+,2 temporadas,"Británicas, Comedias, Dramas",NA,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman",Reino Unido,8.4/10,Netflix
Love 101,2020,13+,1 temporada,"Dramas, Extranjeras, Juveniles",NA,"Pınar Deniz, Kubilay Aka, Mert Yazıcıoğlu, Alina Boz, Selahattin Paşalı, İpek Filiz Yazıcı, Kaan Urgancıoğlu, Müfit Kayacan, Bade İşçil, Tuba Ünsal",Turquía,7.6/10,Netflix
Tyler Rake,2020,18+,117 min,Acción,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi, David Harbour",Estados Unidos,6.7/10,Netflix
"Yours Sincerely, Kanan Gill",2020,13+,72 min,Películas,Neville Shah,Kanan Gill,India,7.2/10,Netflix
Ghost in the Shell: SAC_2045,2020,16+,1 temporada,"Anime, Extranjeras, Policiacas",NA,"Atsuko Tanaka, Osamu Saka, Akio Otsuka, Koichi Yamadera, Yutaka Nakano, Toru Okawa, Takashi Onozuka, Taro Yamaguchi, Sakiko Tamagawa, Megumi Han, Kenjiro Tsuda, Kaiji Soze, Shigeo Kiyama","Japón, Estados Unidos",6.2/10,Netflix
La casa de las flores,2020,13+,3 temporadas,"Comedias, Dramas, Extranjeras",NA,"Verónica Castro, Aislinn Derbez, Cecilia Suárez, Dario Yazbek Bernal, Paco León, Arturo Ríos, Juan Pablo Medina, Verónica Langer, Lucas Velázquez",México,7.7/10,Netflix
Tiempo de caza,2020,16+,135 min,"Extranjeras, Thrillers",Yoon Sung-hyun,"Lee Je-hoon, Ahn Jae-hong, Choi Woo-shik, Park Jeong-min, Park Hae-soo",Corea del Sur,6.2/10,Netflix
Circus of Books,2020,16+,87 min,Documentales,Rachel Mason,NA,Estados Unidos,7.0/10,Netflix
El silencio del pantano,2019,16+,92 min,"Españolas, Extranjeras, Thrillers",Marc Vigil,"Pedro Alonso, Nacho Fresneda, Carmina Barrios, José Ángel Egido, Àlex Monner, Raúl Prieto, Maite Sandoval, Javier Godino, Luis Zahera, Miguel de Lira",España,4.8/10,Netflix
Las plagas de Breslavia,2018,18+,94 min,"Extranjeras, Thrillers",Patryk Vega,"Małgorzata Kożuchowska, Daria Widawska, Katarzyna Bujakiewicz, Maria Dejmek, Andrzej Grabowski, Ewa Kasprzyk, Jacek Beler, Wojciech Kalinowski, Igor Kujawski, Iwona Bielska, Tomasz Oświeciński",Polonia,5.7/10,Netflix
Los hermanos Willoughby,2020,7+,92 min,"Comedias, Para toda la familia",Kris Pearn,"Will Forte, Maya Rudolph, Ricky Gervais, Alessia Cara, Terry Crews, Jane Krakowski, Martin Short, Seán Cullen","Canadá, Estados Unidos, Reino Unido",6.4/10,Netflix
The Story of God with Morgan Freeman,2019,16+,3 temporadas,"Docuseries, Estadounidenses",NA,Morgan Freeman,Estados Unidos,7.9/10,Netflix
Un planeta absurdo,2020,7+,1 temporada,"Comedias, Docuseries, Estadounidenses",NA,Afi Ekulona,Estados Unidos,3.9/10,Netflix
Win the Wilderness,2020,7+,1 temporada,"Británicas, Extranjeras, Realities y talk shows",NA,NA,Reino Unido,7.0/10,Netflix
Especial de Heidi: Llega la primavera,2020,TODOS LO,13 min,Para toda la familia,Jerome Mouscadet,NA,NA,NA,Netflix
Middleditch & Schwartz,2020,16+,1 temporada,"Comedias, Estadounidenses",Ryan Polito,"Thomas Middleditch, Ben Schwartz",Estados Unidos,8.7/10,Netflix
Cocina con cannabis,2020,16+,1 temporada,"Estadounidenses, Realities y talk shows",NA,"Kelis, Leather Storrs",Estados Unidos,6.7/10,Netflix
El último baile,2020,7+,1 temporada,"Docuseries, Estadounidenses",NA,"Michael Jordan, Scottie Pippen, Dennis Rodman",Estados Unidos,9.2/10,Netflix
The Midnight Gospel,2020,16+,1 temporada,"Comedias, Estadounidenses",NA,"Duncan Trussell, Phil Hendrie, Drew Pinsky, Joey Diaz, Natasha Leggero, Johnny Pemberton, Christina Pazsitzky, Anne Lamott, Damien Echols, Trudy Goodman, Maria Bamford, Pauly Shore, Doug Lussenhop, David Nichtern, Steve Little, Caitlin Doughty, Stephen Root",Estados Unidos,8.3/10,Netflix
Hyena,2020,13+,1 temporada,"Dramas, Extranjeras, Románticas",NA,"Kim Hye-soo, Ju Ji-hoon, Lee Gyoung-young, Kim Ho-jung, Song Young-kyu, Hwang Bo-ra, Jun Suk-ho, Hyun Bong-sik, Park Se-jin",Corea del Sur,7.9/10,Netflix
#blackAF,2020,13+,1 temporada,"Comedias, Estadounidenses",NA,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",Estados Unidos,6.8/10,Netflix
2 Fast 2 Furious (A Todo Gas 2),2003,13+,108 min,Acción,John Singleton,"Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser, Ludacris, Thom Barry, James Remar, Devon Aoki, Amaury Nolasco, Michael Ealy, Mark Boone Junior","Estados Unidos, Alemania",5.9/10,Netflix
A todo gas,2001,13+,107 min,Acción,Rob Cohen,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster, Matt Schulze, Johnny Strong, Rick Yune, Ted Levine, Chad Lindberg, Ja Rule","Estados Unidos, Alemania",6.8/10,Netflix
A todo gas: Tokyo Race,2006,13+,104 min,Acción,Justin Lin,"Lucas Black, Sung Kang, Bow Wow, Brian Tee, Nathalie Kelley, Sonny Chiba, Leonardo Nam, Brian Goodman, Zachery Ty Bryan, Lynda Boyd","Estados Unidos, Alemania, Japón",6.0/10,Netflix
Ataque a los Titanes,2018,13+,3 temporadas,"Anime, Extranjeras",NA,"Yuki Kaji, Yui Ishikawa, Marina Inoue, Kisho Taniyama, Yu Shimamura, Yu Kobayashi, Shiori Mikami, Hiro Shimono, Ryota Osaka, Yoshimasa Hosoya, Tomohisa Hashizume, Saki Fujita, Hiroshi Kamiya, Daisuke Ono, Romi Park, Keiji Fujiwara",Japón,8.8/10,Netflix
Code 8,2019,16+,98 min,"Acción, Ciencia ficción y fantásticas, Extranjeras",Jeff Chan,"Robbie Amell, Stephen Amell, Sung Kang, Kari Matchett, Greg Bryk, Aaron Abrams, Kyla Kane",Canadá,6.1/10,Netflix
Fast & Furious 5,2011,13+,130 min,Acción,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson, Ludacris, Dwayne Johnson, Matt Schulze, Sung Kang, Gal Gadot, Tego Calderon, Joaquim de Almeida, Elsa Pataky","Estados Unidos, Brasil, Japón",7.3/10,Netflix
Fast & Furious 6,2013,13+,130 min,Acción,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster, Michelle Rodriguez, Tyrese Gibson, Sung Kang, Gal Gadot, Ludacris, Luke Evans, Elsa Pataky, Gina Carano","Estados Unidos, Japón, España, Reino Unido",7.1/10,Netflix
Fast & Furious 7,2015,16+,137 min,"Acción, Premiadas",James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson, Ludacris, Lucas Black, Jason Statham, Djimon Hounsou, Nathalie Emmanuel, Kurt Russell, Tony Jaa","Estados Unidos, China, Japón, Canadá, Emiratos Árabes Unidos",7.1/10,Netflix
Fast & Furious: aún más rápido,2009,13+,107 min,Acción,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Michelle Rodriguez, John Ortiz, Laz Alonso, Gal Gadot, Jack Conley, Shea Whigham, Liza Lapira","Estados Unidos, Japón",6.6/10,Netflix
Fiebre del ladrillo,2020,16+,95 min,"Dramas, Extranjeras",Cüneyt Kaya,"David Kross, Frederick Lau, Janina Uhse, Anne Schäfer, Sophia Thomalla",Alemania,5.7/10,Netflix
Gru 2. Mi villano favorito,2013,7+,98 min,"Comedias, Para toda la familia, Premiadas","Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand, Ken Jeong, Steve Coogan, Elsie Fisher, Dana Gaier, Moises Arias, Nasim Pedrad, Kristen Schaal","Estados Unidos, Francia, Japón",7.3/10,Netflix
"Gru, mi villano favorito",2010,7+,95 min,"Comedias, Para toda la familia","Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Russell Brand, Julie Andrews, Will Arnett, Kristen Wiig, Miranda Cosgrove, Dana Gaier, Elsie Fisher, Pierre Coffin, Chris Renaud, Jemaine Clement, Jack McBrayer, Danny McBride","Estados Unidos, Francia",7.6/10,Netflix
Hasmukh,2020,13+,1 temporada,"Comedias, Dramas, Extranjeras",NA,"Vir Das, Ranvir Shorey, Manoj Pahwa, Ravi Kishan, Raza Murad, Inaamulhaq, Suhail Nayyar, Amrita Bagchi",India,5.3/10,Netflix
Jugando con fuego,2020,13+,1 temporada,"Estadounidenses, Realities y talk shows, Románticas",NA,Desiree Burch,Estados Unidos,4.5/10,Netflix
La tierra y la sangre,2020,16+,81 min,"Dramas, Extranjeras, Thrillers",Julien Leclercq,"Sami Bouajila, Eriq Ebouaney, Samy Seghir, Sofia Lesaffre","Francia, Bélgica",4.9/10,Netflix
Legado en los huesos,2019,16+,121 min,"Españolas, Extranjeras, Thrillers",Fernando González Molina,"Marta Etura, Carlos Librado ""Nene"", Leonardo Sbaraglia, Francesc Orella, Imanol Arias, Benn Northover, Itziar Aizpuru, Patricia López Arnaiz, Alicia Sánchez, Eduardo Rosa","España, Alemania",6.2/10,Netflix
Sergio,2020,13+,119 min,"Dramas, Independientes",Greg Barker,"Wagner Moura, Ana de Armas, Brían F. O'Byrne, Clemens Schick, Bradley Whitford",Estados Unidos,6.1/10,Netflix
Thomas Y Sus Amigos,2018,TODOS LO,1 temporada,"Británicas, Infantiles",Greg Tiernan,"Michael Angelis, Ben Small, Keith Wickham, Kerry Shale",Reino Unido,6.6/10,Netflix
Alelí,2019,13+,88 min,"Comedias, Dramas, Extranjeras",Leticia Jorge Romero,"Néstor Guzzini, Mirella Pascual, Cristina Morán, Romina Peluffo, Laila Reyes Silberberg, Pablo Tate, Gerónimo Pizzanelli, Georgina Yankelevich, Julio Icasuriaga, Carla Moscatelli","Uruguay, Argentina",6.4/10,Netflix
Fary : Hexagone,2020,13+,2 temporadas,"Comedias, Extranjeras, Monólogos de humoristas","Adrien Lagier, Ousmane Ly",Fary,Francia,6.5/10,Netflix
Maurício Meirelles: Levando o Caos,2020,16+,63 min,Películas,Diego Pignataro,Maurício Meirelles,Brasil,6.5/10,Netflix
Ayer no termina nunca,2013,7+,99 min,"Dramas, Españolas",Isabel Coixet,"Javier Cámara, Candela Peña",España,5.3/10,Netflix
Belle y Sebastián,2013,7+,99 min,"Dramas, Para toda la familia",Nicolas Vanier,"Mehdi El Glaoui, Urbain Cancelier, Andreas Pietschmann, Tchéky Karyo, Dimitri Storoge, Margaux Chatelier, Félix Bossuet",Francia,6.9/10,Netflix
Cuckoo,2019,13+,2 temporadas,"Británicas, Comedias, Extranjeras",NA,"Andy Samberg, Taylor Lautner, Greg Davies, Helen Baxendale, Tamla Kari, Tyger Drew-Honey, Esther Smith",Reino Unido,7.3/10,Netflix
Daniel Tigre y su mundo,2014,TODOS LO,1 temporada,Infantiles,NA,"Jake Beale, Tommy Lioutas, Heather Bambrick, Ted Dykstra, Nicholas Kaegi, Addison Holley, Amariah Faulkner, Jamie Watson, Catherine Disher, Derek McGrath, Teresa Pavlinek, Laara Sadiq, Jeremiah Sparks","Estados Unidos, Canadá",7.4/10,Netflix
Hacerse mayor y otros problemas,2018,7+,91 min,"Comedias, Dramas, Españolas",Clara Martínez-Lázaro,"Silvia Alonso, Bárbara Goenaga, María Esteve, Vito Sanz, Francesco Carril",NA,NA,Netflix
Hora de aventuras,2014,7+,2 temporadas,"Comedias, Infantiles",NA,"Jeremy Shada, John DiMaggio, Hynden Walch, Tom Kenny, Pendleton Ward, Dee Bradley Baker, Niki Yang, Maria Bamford, Steve Little, Olivia Olson","Estados Unidos, Corea del Sur",8.6/10,Netflix
Josie,2018,16+,87 min,Dramas,Eric England,"Mickey Faerch, Daeg Faerch, Jack Kilmer, Kurt Fuller, Lombardo Boyar, George Todd McLachlan, Micah Fitzgerald, Sophie Turner, Robin Bartlett, Dylan McDermott",Estados Unidos,5.1/10,Netflix
Loving Vincent,2017,13+,95 min,"Dramas, Extranjeras, Premiadas","Dorota Kobiela, Hugh Welchman","Douglas Booth, Chris O'Dowd, Helen McCrory, Robert Gulaczyk, Aidan Turner, Saoirse Ronan, John Sessions, Eleanor Tomlinson, Jerome Flynn","Polonia, Reino Unido, Estados Unidos, Suiza, Países Bajos",7.8/10,Netflix
Me casé con un boludo,2016,7+,109 min,"Comedias, Extranjeras, Románticas",Juan Taratuto,"Adrián Suar, Valeria Bertuccelli, Gerardo Romano, Norman Briski, Alan Sabbagh, Marina Bellati, María Alché, Analía Couceyro, Diego Benedetto",Argentina,5.5/10,Netflix
Nueva vida en Nueva York,2013,7+,117 min,"Comedias, Extranjeras, Románticas",Cédric Klapisch,"Romain Duris, Audrey Tautou, Cécile De France, Kelly Reilly, Sandrine Holt, Flore Bonaventura, Benoît Jacquot, Margaux Mansart",NA,NA,Netflix
Outer Banks,2020,13+,1 temporada,"Acción, Dramas, Estadounidenses",NA,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey",Estados Unidos,7.6/10,Netflix
"Palabras, mapas, secretos y otras cosas",2015,7+,59 min,"Documentales, Españolas, Extranjeras",Elena Trapé,Isabel Coixet,NA,NA,Netflix
Pucca: Receta de amor,2018,TODOS LO,1 temporada,Infantiles,NA,"Jeonghwa Yang, Yongwoo Shin, Doug Erholtz, Melissa Fahn, Karen Strassman, Kirk Thornton, Spike Spencer",NA,NA,Netflix
Steven Universe,2017,7+,1 temporada,"Comedias, Infantiles",NA,"Zach Callison, Estelle, Michaela Dietz, Deedee Magno, Tom Scharpling","Estados Unidos, Corea del Sur",8.2/10,Netflix
The Innocence Files,2020,16+,1 temporada,"Docuseries, Estadounidenses, Policiacas",NA,NA,Estados Unidos,8.0/10,Netflix
Unos días para recordar,2014,13+,81 min,"Comedias, Extranjeras",Jean Becker,"Philippe Rebbot, Jean-Pierre Darroussin, Claudia Tagbo, Swann Arlaud, Fred Testot, Gérard Lanvin",Francia,5.8/10,Netflix
Chris D'Elia: No Pain,2020,16+,55 min,Películas,Matt D'Elia,Chris D'Elia,Estados Unidos,5.9/10,Netflix
Amor. Boda. Azar.,2020,13+,101 min,"Comedias, Extranjeras, Románticas",Dean Craig,"Sam Claflin, Olivia Munn, Freida Pinto, Eleanor Tomlinson, Joel Fry, Tim Key, Aisling Bea, Jack Farthing, Allan Mustafa","Reino Unido, Italia",5.5/10,Netflix
Brews Brothers,2020,16+,1 temporada,"Comedias, Estadounidenses",NA,"Alan Aisenberg, Mike Castle, Carmen Flood, Marques Ray",Estados Unidos,4.9/10,Netflix
LA Originals,2020,16+,92 min,"Documentales, Música y musicales",NA,NA,"Estados Unidos, Argentina",7.2/10,Netflix
Mi primer gran combate,2020,TODOS LO,103 min,"Comedias, Para toda la familia",Jay Karas,"Seth Carr, Tichina Arnold, Adam Pally, Ken Marino, Mike 'The Miz' Mizanin, Momona Tamada, Keith Lee, Babatunde Aiyegbusi, Kofi Kingston",Estados Unidos,4.7/10,Netflix
Ouija,2014,16+,89 min,Terror,Stiles White,"Olivia Cooke, Ana Coto, Daren Kagasoff, Bianca A. Santos, Douglas Smith, Shelley Hennig, Sierra Heuermann, Lin Shaye, Vivis Colombetti, Sunny May Allison",Estados Unidos,4.5/10,Netflix
Tigertail,2020,7+,91 min,Dramas,Alan Yang,"Tzi Ma, Christine Ko, Hong-Chi Lee, Hayden Szeto, Kunjue Li, Fiona Fu, James Saito, Joan Chen",Estados Unidos,6.4/10,Netflix
Hi Score Girl,2019,13+,2 temporadas,"Anime, Extranjeras, Románticas",NA,"Kohei Amasaki, Sayumi Suzushiro, Yuuki Hirose, Kazuyuki Okitsu, Daiki Yamashita, Daria Midou, Satomi Arai, Shizuka Ito, Cho, Chinatsu Akasaki, Tomokazu Sugita, Yuichi Nakamura, Kana Ueda, Taketora, Hochu Otsuka, Hiroki Yasumoto",Japón,8.0/10,Netflix
LEGO Jurassic World: La exhibición secreta,2018,TODOS LO,1 temporada,Infantiles,NA,"Britt McKillip, Ian Hanlin, Dhirendra, Alex Zahara, Vincent Tong, Bethany Brown, Adrian Petriw, Sabrina Pitre",Estados Unidos,6.1/10,Netflix
The Circle: Francia,2020,7+,1 temporada,"Extranjeras, Realities y talk shows",NA,NA,NA,7.4/10,Netflix
Tiffany Haddish: She Ready! From the Hood To Hollywood!,2017,13+,66 min,Películas,Chris Robinson,Tiffany Haddish,Estados Unidos,6.7/10,Netflix
El show de Big Show,2020,TODOS LO,1 temporada,"Comedias, Infantiles",NA,"Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant, Juliet Donenfeld",Estados Unidos,6.4/10,Netflix
Coffee & Kareem,2020,16+,88 min,"Acción, Comedias",Michael Dowse,"Ed Helms, Taraji P. Henson, Terrence Little Gardenhigh, Betty Gilpin",Estados Unidos,5.1/10,Netflix
Dinotrux: Supercargados,2018,7+,3 temporadas,Infantiles,NA,"Andrew Francis, Richard Ian Cox, Brian Drummond, Matt Hill, Ashleigh Ball, Paul Dobson",Estados Unidos,7.2/10,Netflix
La casa de papel: El fenómeno,2020,13+,57 min,"Documentales, Españolas, Extranjeras","Pablo Lejarreta, Luis Alfaro",NA,España,7.5/10,Netflix
El sol naciente,2020,13+,5 min,"Acción, Anime, Ciencia ficción y fantásticas",Akira Saitoh,NA,Japón,4.8/10,Netflix
Pokémon Sol y Luna,2019,7+,3 temporadas,"Anime, Infantiles",NA,"Sarah Natochenny, Laurie Hymes, Jessica Paquet, Rosie Reyes, Alyson Leigh Rosenfeld, Marc Swint, Rodger Parsons",Japón,7.5/10,Netflix
Violet Evergarden Gaiden: La eternidad y la muñeca de recuerdos automáticos,2019,7+,91 min,"Anime, Ciencia ficción y fantásticas, Extranjeras",Haruka Fujita,"Yui Ishikawa, Minako Kotobuki, Aoi Yuki",Japón,7.4/10,Netflix
Big Fish,2003,13+,125 min,"Ciencia ficción y fantásticas, Dramas",Tim Burton,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter, Alison Lohman, Robert Guillaume, Marion Cotillard, Matthew McGrory, David Denman, Missi Pyle, Loudon Wainwright III",Estados Unidos,8.0/10,Netflix
Bratz,2007,TODOS LO,102 min,"Comedias, Para toda la familia",Sean McNamara,"Logan Browning, Janel Parrish, Nathalia Ramos, Skyler Shaye, Chelsea Kane",Estados Unidos,3.1/10,Netflix
Cazafantasmas,2016,13+,117 min,"Acción, Comedias",Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones, Chris Hemsworth, Bill Murray, Dan Aykroyd, Michael Kenneth Williams, Andy Garcia","Estados Unidos, Australia",6.5/10,Netflix
Cazafantasmas II,1989,7+,108 min,"Acción, Ciencia ficción y fantásticas, Comedias",Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis, Ernie Hudson, Annie Potts, Peter MacNicol, Harris Yulin, David Margulies, Kurt Fuller",Estados Unidos,6.6/10,Netflix
Colombiana,2011,16+,103 min,"Acción, Extranjeras",Olivier Megaton,"Zoe Saldana, Jordi Mollà, Lennie James, Amandla Stenberg, Michael Vartan, Cliff Curtis, Beto Benites, Jesse Borrego, Cynthia Addai-Robinson, Angel Garnica, Ofelia Medina, Callum Blue","Francia, México, Estados Unidos, Canadá",6.4/10,Netflix
Community,2015,7+,6 temporadas,"Comedias, Estadounidenses",NA,"Ken Jeong, Jim Rash, Donald Glover, Joel McHale, Gillian Jacobs, Danny Pudi, Alison Brie, Chevy Chase, Yvette Nicole Brown",Estados Unidos,8.5/10,Netflix
Cosas que hacer antes de los 18,2013,16+,104 min,"Comedias, Independientes, Románticas",Maggie Carey,"Aubrey Plaza, Johnny Simmons, Bill Hader, Alia Shawkat, Sarah Steele, Scott Porter, Rachel Bilson, Christopher Mintz-Plasse, Andy Samberg, Donald Glover, Clark Gregg, Connie Britton",Estados Unidos,5.8/10,Netflix
David Batra: Elefanten i rummet,2020,16+,77 min,Películas,"David Batra, Jon Rudberg",David Batra,Suecia,5.8/10,Netflix
El castillo ambulante,2004,7+,120 min,"Anime, Para toda la familia, Premiadas",Hayao Miyazaki,"Chieko Baisho, Takuya Kimura, Akihiro Miwa, Tatsuya Gashuin, Ryunosuke Kamiki, Mitsunori Isaki, Yo Oizumi, Akio Otsuka, Daijiro Harada, Haruko Kato",NA,NA,Netflix
El francotirador,2014,16+,133 min,"Acción, Dramas, Premiadas",Clint Eastwood,"Bradley Cooper, Sienna Miller, Luke Grimes, Jake McDorman, Cory Hardrict, Kevin Lacz, Navid Negahban, Keir O'Donnell",Estados Unidos,7.3/10,Netflix
El recuerdo de Marnie,2014,7+,103 min,"Anime, Extranjeras, Para toda la familia",Hiromasa Yonebayashi,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima, Toshie Negishi, Ryoko Moriyama, Kazuko Yoshiyuki, Hitomi Kuroki",Japón,7.7/10,Netflix
El truco final (El prestigio),2006,13+,130 min,"Dramas, Thrillers",Christopher Nolan,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo, Rebecca Hall, Scarlett Johansson, Samantha Mahurin, David Bowie, Andy Serkis","Reino Unido, Estados Unidos",8.5/10,Netflix
El viento se levanta,2013,13+,127 min,"Anime, Extranjeras, Premiadas",Hayao Miyazaki,"Hideaki Anno, Miori Takimoto, Hidetoshi Nishijima, Masahiko Nishimura, Stephen Alpert, Morio Kazama, Keiko Takeshita, Mirai Shida, Jun Kunimura, Shinobu Otake, Mansai Nomura","Japón, Francia, Estados Unidos",7.8/10,Netflix
En la línea de fuego,1993,13+,129 min,"Acción, Clásicas",Wolfgang Petersen,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole, Fred Dalton Thompson, John Mahoney, Gregory Alan Williams, Jim Curley, Sally Hughes",Estados Unidos,7.2/10,Netflix
En qué piensan los hombres,2012,13+,122 min,"Comedias, Románticas",Tim Story,"Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall, Kevin Hart, Taraji P. Henson, Terrence Jenkins, Jenifer Lewis, Romany Malco, Gary Owen, Gabrielle Union, La La Anthony, Chris Brown",Estados Unidos,6.5/10,Netflix
Eyes Wide Shut,1999,16+,159 min,"Clásicas, Dramas, Premiadas",Stanley Kubrick,"Tom Cruise, Nicole Kidman, Sydney Pollack, Marie Richardson, Rade Serbedzija, Todd Field, Vinessa Shaw, Alan Cumming, Sky Dumont, Fay Masterson, Leelee Sobieski","Reino Unido, Estados Unidos",7.4/10,Netflix
How to Fix a Drug Scandal,2020,16+,1 temporada,"Docuseries, Estadounidenses, Policiacas",NA,NA,Estados Unidos,7.0/10,Netflix
Julian Schnabel: A Private Portrait,2017,7+,84 min,Documentales,Pappi Corsicato,Julian Schnabel,"Estados Unidos, Italia",6.6/10,Netflix
La colina de las amapolas,2011,7+,91 min,"Anime, Extranjeras, Para toda la familia",Goro Miyazaki,"Masami Nagasawa, Junichi Okada, Keiko Takeshita, Yuriko Ishida, Rumi Hiiragi, Jun Fubuki, Takashi Naito, Shunsuke Kazama, Nao Omori, Teruyuki Kagawa",NA,NA,Netflix
La fiesta de las salchichas,2016,16+,89 min,"Acción, Comedias","Greg Tiernan, Conrad Vernon","Michael Cera, James Franco, Bill Hader, Salma Hayek, Jonah Hill, Anders Holm, Nick Kroll, Danny McBride, Edward Norton, Craig Robinson, Seth Rogen, Paul Rudd, Kristen Wiig, David Krumholtz","Estados Unidos, Canadá",6.1/10,Netflix
La Máscara,1994,13+,101 min,"Acción, Ciencia ficción y fantásticas, Comedias",Chuck Russell,"Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene, Amy Yasbeck, Richard Jeni, Orestes Matacena, Tim Bagley, Nancy Fish, Johnny Williams",Estados Unidos,6.9/10,Netflix
Looney Tunes. De nuevo en acción,2003,7+,92 min,"Comedias, Para toda la familia",Joe Dante,"Brendan Fraser, Jenna Elfman, Steve Martin, Timothy Dalton, Heather Locklear, Joan Cusack, Bill Goldberg","Alemania, Estados Unidos",5.7/10,Netflix
Mad Max 2: El Guerrero de la carretera,1981,16+,96 min,"Acción, Ciencia ficción y fantásticas, Clásicas",George Miller,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps, Vernon Wells, Kjell Nilsson, Emil Minty, Virginia Hey, William Zappa, Arkie Whiteley","Australia, Estados Unidos",7.6/10,Netflix
